id,nombre científico,nombre común,rango,zonas USDA
"ligustrum_sinense","Ligustrum sinense","Ligustro chino","-17.8°C a -15°C","7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"ligustrum_sp","Ligustrum sp.","Ligustro, Ligustrina","-23.3°C a -20.6°C","6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"liquidambar_styraciflua","Liquidambar styraciflua","Liquidámbar","-28.9°C a -26.1°C","5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"liriodendron_tulipifera","Liriodendron tulipifera","Tulipán africano, Tulipándro","-34.4°C a -31.7°C","4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"lithraea_molleoides","Lithraea molleoides","Molle de beber, Molle de Córdoba","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"livistona_chinensis","Livistona chinensis","Palmera de abanico china","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"lonchocarpus_nitidus","Lonchocarpus nitidus","Yerba de bugre","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"luehea_divaricata","Luehea divaricata","Azote de caballo, Francisco Álvarez","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"lycium_cestroides","Lycium cestroides","Tabaquillo, Tala de san luis","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"lycium_glomeratum","Lycium glomeratum","Cambrón","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"maclura_pomifera","Maclura pomifera","Naranjo de osage","-34.4°C a -31.7°C","4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"magnolia_grandiflora","Magnolia grandiflora","Magnolia, Magnolio","-23.3°C a -20.6°C","6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"magnolia_sp","Magnolia sp.","Magnolia","-28.9°C a -26.1°C","5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"malus_domestica","Malus domestica","Manzano","-40°C a -37.2°C","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"malus_sp","Malus sp.","Manzano de flor, Manzano","-40°C a -37.2°C","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"mangifera_indica","Mangifera indica","Mango","-1.1°C a 1.7°C","10a, 10b"
"mangifera_sp","Mangifera sp.","Mango","-1.1°C a 1.7°C","10a, 10b"
"manihot_grahamii","Manihot grahamii","Yuca de jardín, Mandioca brava","-12.2°C a -9.4°C","8a, 8b, 9a, 9b, 10a, 10b"
"melia_azedarach","Melia azedarach","Paraíso","-17.8°C a -15°C","7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"melia_azedarach_var_umbraculifera","Melia azedarach var. umbraculifera","Paraíso sombrilla","-17.8°C a -15°C","7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"metasequoia_glyptostroboides","Metasequoia glyptostroboides","Metasecuoya","-34.4°C a -31.7°C","4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"morus_alba","Morus alba","Morera blanca","-34.4°C a -31.7°C","4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"morus_alba_var_pendula","Morus alba var. pendula","Morera péndula","-34.4°C a -31.7°C","4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"morus_nigra","Morus nigra","Morera negra, Moral","-28.9°C a -26.1°C","5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"morus_sp","Morus sp.","Morera","-34.4°C a -31.7°C","4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"murraya_paniculata","Murraya paniculata","Mirto de Holanda, Azahar de la India","-3.9°C a -1.1°C","9b, 10a, 10b"
"musa_paradisiaca","Musa × paradisiaca","Banano, Plátano","-3.9°C a -1.1°C","9b, 10a, 10b"
"myoporum_laetum","Myoporum laetum","Mioporo, Transparente","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"myrceugenia_glaucescens","Myrceugenia glaucescens","Murta, Pitanguillo","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"myrsine_laetevirens","Myrsine laetevirens","Canelón","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"myrtus_communis","Myrtus communis","Mirto, Arrayán","-12.2°C a -9.4°C","8a, 8b, 9a, 9b, 10a, 10b"
"nectandra_angustifolia","Nectandra angustifolia","Laurel amarillo, Laurel de río","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"neltuma_alba","Neltuma alba","Algarrobo blanco","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"neltuma_chilensis","Neltuma chilensis","Algarrobo chileno","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"neltuma_juliflora","Neltuma juliflora","Mezquite","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"nerium_oleander","Nerium oleander","Oleandro, Laurel de jardín, Adelfa","-12.2°C a -9.4°C","8a, 8b, 9a, 9b, 10a, 10b"
"nerium_sp","Nerium sp.","Laurel de jardín","-12.2°C a -9.4°C","8a, 8b, 9a, 9b, 10a, 10b"
"nicotiana_glauca","Nicotiana glauca","Palán palán","-12.2°C a -9.4°C","8a, 8b, 9a, 9b, 10a, 10b"
"no_determinable","No determinable","Especie no determinada","-12.2°C a -9.4°C","8a, 8b, 9a, 9b, 10a, 10b"
"no_determinado","No determinado","Especie no determinada","-12.2°C a -9.4°C","8a, 8b, 9a, 9b, 10a, 10b"
"ocotea_acutifolia","Ocotea acutifolia","Laurel negro, Laurel criollo","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"olea_europaea","Olea europaea","Olivo","-12.2°C a -9.4°C","8a, 8b, 9a, 9b, 10a, 10b"
"olea_sp","Olea sp.","Olivo","-12.2°C a -9.4°C","8a, 8b, 9a, 9b, 10a, 10b"
"osmanthus_fragrans","Osmanthus fragrans","Osmantho, Olivo fragante","-15°C a -12.2°C","7b, 8a, 8b, 9a, 9b, 10a, 10b"
"pandanus_utilis","Pandanus utilis","Pandano","-1.1°C a 1.7°C","10a, 10b"
"parapiptadenia_excelsa","Parapiptadenia excelsa","Horco cebil","-3.9°C a -1.1°C","9b, 10a, 10b"
